City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
Longyearbyen,20,NO,1575855614,60,10.4,78.22,15.63,11.41
Mingaora,99,PK,1575855741,21,41.2,34.78,72.36,7.72
Yellowknife,5,CA,1575855606,73,-31,62.45,-114.38,5.82
Mar del Plata,66,AR,1575855449,52,62.19,-46.43,-67.52,3.83
Itarema,0,BR,1575855615,79,77.97,-2.92,-39.92,6.4
Chingirlau,0,KZ,1575855903,70,23.29,51.09,54.08,7.43
Bucerias,5,MX,1575855632,83,78.8,20.76,-105.33,11.41
Ban Nahin,0,LA,1575855903,43,64.22,18.24,104.21,4.29
Grindavik,18,IS,1575855627,74,28.4,63.84,-22.43,1.12
Puerto Ayora,62,EC,1575855606,90,72,-0.74,-90.35,1.99
Marquette,90,US,1575855773,92,30.2,46.54,-87.4,14.99
East London,100,ZA,1575855615,75,64.47,-33.02,27.91,10.92
Denpasar,20,ID,1575855779,79,86,-8.65,115.22,8.05
Kirakira,100,SB,1575855616,79,81.55,-10.46,161.92,6.91
Hami,0,CN,1575855608,47,28.44,42.84,93.51,2.73
Beringovskiy,100,RU,1575855612,98,4.26,63.05,179.32,11.92
Matara,100,BI,1575855903,98,57.11,-3.48,29.48,1.45
San Patricio,11,PY,1575855620,77,68.25,-26.98,-56.83,2.55
America Dourada,4,BR,1575855904,82,70.12,-11.46,-41.44,11.12
Gat,27,SN,1575855904,77,69.8,14.69,-16.54,14.99
Bredasdorp,79,ZA,1575855605,68,66.2,-34.53,20.04,14.99
Khanpur,47,PK,1575855904,24,63.86,28.65,70.66,3.91
Utiel,4,ES,1575855904,76,55.99,39.57,-1.21,14.99
Namwala,23,ZM,1575855904,90,67.71,-15.75,26.45,2.77
Sobolevo,100,RU,1575855904,92,35.73,54.43,31.9,15.99
Changtu,100,CN,1575855904,66,26.98,42.78,124.11,7.9
Sao Joao da Barra,96,BR,1575855904,78,71.51,-21.64,-41.05,9.75
Gornopravdinsk,100,RU,1575855904,92,26.8,60.06,69.92,10.6
Hammerfest,40,NO,1575855904,79,26.6,70.66,23.68,8.05
Le Vauclin,40,MQ,1575855630,78,80.6,14.55,-60.84,5.82
Thompson,20,CA,1575855614,75,-20.2,55.74,-97.86,4.7
Berlevag,19,NO,1575855621,57,33.91,70.86,29.09,18.3
Barberino di Mugello,40,IT,1575855904,93,57,44,11.24,4.7
Bambous Virieux,40,MU,1575855613,94,78.01,-20.34,57.76,3.36
Novochernorechenskiy,98,RU,1575855904,93,8.85,56.27,91.08,1.52
Thinadhoo,73,MV,1575855904,80,82.62,0.53,72.93,15.99
Ambon,76,FR,1575855904,76,53.01,47.55,-2.56,20.8
Khash,17,IR,1575855904,96,49.93,28.22,61.21,8.23
Cabo San Lucas,5,MX,1575855390,78,75,22.89,-109.91,4.7
Medicine Hat,5,CA,1575855857,84,-2.2,50.04,-110.68,2.24
Faanui,77,PF,1575855628,73,82.09,-16.48,-151.75,10.4
Zaporizhzhya,90,UA,1575855905,100,37.4,47.82,35.18,2.24
Deer Lake,90,CA,1575855905,79,26.6,49.18,-57.43,9.17
Avera,90,US,1575855905,58,55.4,33.19,-82.53,6.93
Lircay,100,PE,1575855905,77,47.59,-12.99,-74.72,5.28
Port Blair,91,IN,1575855708,75,79.54,11.67,92.75,17.09
Sur,0,OM,1575855905,79,71.73,22.57,59.53,0.87
Rosarito,75,CO,1575855905,94,71.6,4.91,-75.23,3.38
Geraldton,75,CA,1575855608,70,-4,49.72,-86.95,6.93
Ojinaga,1,US,1575855905,32,69.8,29.56,-104.41,8.05
Talnakh,5,RU,1575855606,75,-13,69.49,88.39,6.71
Dali,0,CN,1575855905,19,52.48,34.79,109.94,8.19
Sanchor,90,IN,1575855905,38,64.67,24.76,71.77,7.16
Saint-Augustin,90,CA,1575855498,86,33.01,45.63,-73.98,16.11
Aswan,100,EG,1575855905,66,54.36,24.09,32.9,9.33
San Francisco,100,CO,1575855702,95,52.77,1.17,-76.88,3.44
Fortuna,90,US,1575855623,93,53.01,40.6,-124.16,6.93
Hofn,0,IS,1575855613,57,32.2,64.25,-15.21,6.51
Sabla,99,NG,1575855905,19,68.83,12.75,4.71,7.72
Memari,40,IN,1575855906,88,64.4,23.17,88.11,3.94
Miraflores,99,PE,1575855619,71,55.4,-16.39,-71.52,4.7
Milkovo,0,BG,1575855906,87,48.2,41.53,24.68,3.36
Vengerovo,64,RU,1575855906,96,20.28,55.68,76.74,7.83
Mehran,0,IR,1575855906,63,53.15,33.12,46.17,6.08
Yabassi,75,CM,1575855906,100,77,4.46,9.97,2.24
Marrakesh,0,MA,1575855906,87,50,31.63,-7.99,4.7
Harper,1,US,1575855906,63,64.4,30.3,-99.24,19.04
Alofi,95,NU,1575855619,66,84.2,-19.06,-169.92,14.99
Nikolskoye,75,RU,1575855606,86,37.99,59.7,30.79,11.18
Staraya Toropa,100,RU,1575855906,91,38.8,56.28,31.67,12.68
Kinango,100,KE,1575855906,92,74.91,-4.13,39.32,4.45
San Quintin,0,PH,1575855626,57,81.55,17.54,120.52,8.03
Avarua,62,CK,1575855609,65,80.6,-21.21,-159.78,16.11
Norman Wells,75,CA,1575855497,75,-16.6,65.28,-126.83,6.93
Husavik,100,CA,1575855906,78,-0.99,50.56,-96.99,5.99
Lavrentiya,82,RU,1575855614,88,30.36,65.58,-170.99,25.1
Kaitangata,59,NZ,1575855610,60,59,-46.28,169.85,11.01
Mercedes,30,UY,1575855907,67,73,-33.25,-58.03,3
Luderitz,0,NA,1575855607,93,60.8,-26.65,15.16,5.82
Narsaq,60,GL,1575855626,27,35.6,60.91,-46.05,21.92
Maryborough,4,AU,1575855657,39,91.6,-25.54,152.7,10.07
Torbay,75,CA,1575855618,68,26.01,47.66,-52.73,20.8
Ostrovnoy,88,RU,1575855619,95,17.11,68.05,39.51,10.13
Iberia,2,PE,1575855907,84,74.19,-11.41,-69.49,2.57
Okhotsk,75,RU,1575855628,77,-4.79,59.36,143.24,8.88
Riverton,90,US,1575855907,100,37.4,43.02,-108.38,17.78
Onokhoy,20,RU,1575855907,76,-4,51.92,108.05,2.24
Georgetown,40,GY,1575855626,83,80.6,6.8,-58.16,6.93
Iqaluit,90,CA,1575855625,66,15.8,63.75,-68.52,21.92
Dabakala,0,CI,1575855907,68,75.54,8.36,-4.43,4.61
Kruisfontein,56,ZA,1575855606,89,54.97,-34,24.73,5.99
Ilulissat,87,GL,1575855623,49,-0.4,69.22,-51.1,3.36
Salalah,75,OM,1575855606,88,78.8,17.01,54.1,8.05
Cap Malheureux,40,MU,1575855618,94,78.01,-19.98,57.61,3.36
Ahuimanu,90,US,1575855908,69,82.4,21.44,-157.84,2.71
Serdobsk,100,RU,1575855908,98,33.78,52.46,44.21,7.07
Ternate,40,PH,1575855908,69,84,14.29,120.72,2.24
Sitka,72,US,1575855610,55,48.99,37.17,-99.65,1.01
Dickinson,90,US,1575855629,84,9,46.88,-102.79,13.87
Hobart,100,AU,1575855596,29,81,-42.88,147.33,13.87
Nabire,0,ID,1575855624,51,91.42,-3.36,135.5,4.45
Hobyo,9,SO,1575855908,86,77.32,5.35,48.53,6.33
Zarubino,25,RU,1575855908,80,32.54,42.65,131.06,7.61
Charters Towers,0,AU,1575855908,19,95.94,-20.07,146.27,18.81
Mihona,0,IN,1575855908,53,63.18,26.28,78.98,0.74
Ahipara,0,NZ,1575855604,80,72,-35.17,173.16,1.01
Taltal,12,CL,1575855611,88,55.36,-25.41,-70.49,0.72
Birobidzhan,62,RU,1575855908,63,0.28,48.79,132.93,2.24
Upernavik,93,GL,1575855613,56,0.12,72.79,-56.15,5.37
Wooster,40,US,1575855631,70,50,40.8,-81.94,10.29
Sid,4,YE,1575855908,87,66.63,15.7,43.66,1.45
Chapada dos Guimaraes,40,BR,1575855829,88,77,-15.46,-55.75,3.36
Ellisras,100,ZA,1575855908,83,70.36,-23.67,27.74,16.87
Namibe,78,AO,1575855316,78,70.74,-15.19,12.15,15.12
Aklavik,75,CA,1575855723,75,-13,68.22,-135.01,4.7
Tuktoyaktuk,20,CA,1575855614,68,-16.6,69.44,-133.03,9.17
Kutum,0,SD,1575855623,39,51.15,14.2,24.66,4.18
Port Hedland,0,AU,1575855613,11,104,-20.31,118.58,14.99
Ampanihy,90,MG,1575855909,84,73.35,-24.69,44.75,9.95
Mao,40,DO,1575855612,88,79,19.55,-71.08,4.7
Baykit,8,RU,1575855909,96,-11.42,61.68,96.39,3.11
Mehamn,14,NO,1575855317,59,24.71,71.03,27.85,12.86
Laguna,20,BZ,1575855628,94,73.4,16.17,-88.94,1.77
Clyde River,90,CA,1575855612,75,-14.8,70.47,-68.59,12.75
Sao Filipe,61,CV,1575855606,78,68.88,14.9,-24.5,18.32
Waipawa,37,NZ,1575855909,51,69.01,-39.94,176.59,8.01
Caravelas,98,BR,1575855909,98,72.41,-17.73,-39.27,2.39
Saint George,75,GR,1575855626,100,41,39.45,22.34,0.83
Shimoda,40,JP,1575855909,76,54,34.7,138.93,19.46
Castro,90,CL,1575855610,82,55.4,-42.48,-73.76,5.82
Goderich,100,CA,1575855629,88,45,43.74,-81.71,11.99
Port Moresby,40,PG,1575855909,55,87.8,-9.47,147.16,17.22
Baiyin,0,CN,1575855909,72,14,36.55,104.13,4.47
La Paz,62,MX,1575855909,87,71.01,24.15,-110.32,1.01
Farafangana,94,MG,1575855909,89,79.79,-22.82,47.83,9.75
Bubaque,89,GW,1575855615,51,81.61,11.28,-15.83,15.95
Isangel,75,VU,1575855909,78,82.4,-19.55,169.27,11.41
Rodeo,0,MX,1575855910,37,61.27,25.18,-104.56,0.89
San Cristobal,4,HN,1575855625,97,62.53,14.68,-86.92,2.51
Togur,100,RU,1575855910,95,16.41,58.36,82.83,6.02
Vila Franca do Campo,75,PT,1575855628,93,62.6,37.72,-25.43,2.24
Rocha,98,UY,1575855806,67,65.44,-34.48,-54.34,7.72
Cherskiy,100,RU,1575855611,99,-23.42,68.75,161.3,1.57
Teya,20,MX,1575855910,78,78.8,21.05,-89.07,4.7
Samarai,99,PG,1575855910,64,86.09,-10.62,150.67,3.24
Ontario,90,US,1575855910,100,62.6,34.07,-117.65,6.93
Sakaiminato,20,JP,1575855910,75,46.4,35.55,133.23,4.7
Chifeng,91,CN,1575855910,41,29.82,42.27,118.96,5.14
Havoysund,40,NO,1575855607,79,26.6,71,24.66,8.05
Saint Anthony,100,US,1575855624,98,36,43.97,-111.68,8.05
Hervey Bay,1,AU,1575855611,43,88,-25.3,152.85,11.41
Minna,9,NG,1575855910,23,72.09,9.62,6.55,6.35
Chapais,90,CA,1575855620,86,26.6,49.78,-74.86,16.11
Meulaboh,55,ID,1575855606,77,79.88,4.14,96.13,4.61
Binga,97,ZW,1575855910,73,77.31,-17.62,27.34,0.78
Alugan,56,PH,1575855911,82,82.04,12.22,125.48,9.91
Buzmeyin,75,TM,1575855911,100,41,38.05,58.21,4.7
Gushikawa,40,JP,1575855911,64,69.8,26.35,127.87,17.22
Axim,0,GH,1575855911,93,75.4,4.87,-2.24,0.65
Coihaique,100,CL,1575855628,55,60.8,-45.58,-72.07,8.05
Cayenne,68,GF,1575855911,94,73.4,4.94,-52.33,6.93
Bam,0,IR,1575855911,56,56.28,29.11,58.36,6.87
Marsa Matruh,85,EG,1575855620,68,67.24,31.35,27.25,15.88
Matay,0,EG,1575855622,86,48.87,28.42,30.79,2.57
Port Macquarie,0,AU,1575855911,57,81,-31.43,152.91,18.34
Poplar Bluff,1,US,1575855911,87,55.4,36.76,-90.39,10.47
Pendleton,90,US,1575855911,45,50,34.65,-82.78,4.7
Usinsk,100,RU,1575855911,92,30.38,66,57.56,22.59
Hamilton,90,CA,1575855346,81,48.99,43.26,-79.87,17.22
Portland,75,US,1575855537,40,39,43.66,-70.25,10.29
Dunedin,80,NZ,1575855615,73,53.11,-45.87,170.5,17.38
Fuerte Olimpo,100,BR,1575855611,95,72.61,-21.04,-57.87,9.8
Wolfsburg,75,DE,1575855912,87,46.99,52.42,10.79,9.17
Inuvik,75,CA,1575855614,75,-13,68.36,-133.71,4.7
Coruripe,33,BR,1575855912,80,78.84,-10.12,-36.18,15.77
Floro,100,NO,1575855912,86,39.2,61.6,5.03,8.05
Lagunas,40,PE,1575855912,84,74.93,-5.23,-75.68,3.44
Shelburne,90,CA,1575855912,80,42.8,44.08,-80.2,6.93
Timra,100,SE,1575855912,91,32,62.49,17.33,4.7
Ghanzi,64,BW,1575855912,54,72.41,-21.7,21.65,3.49
Chara,75,GR,1575855612,100,41,39.42,22.43,0.83
Airai,0,TL,1575855611,29,88.23,-8.93,125.41,7.81
Road Town,40,VG,1575855629,88,80.6,18.42,-64.62,8.05
Soure,90,PT,1575855912,93,55.4,40.06,-8.63,8.05
Vestmanna,34,FO,1575855913,80,35.6,62.16,-7.17,26.4
Tuatapere,52,NZ,1575855311,69,55.99,-46.13,167.69,15.01
Lasa,75,CY,1575855620,71,55.4,34.92,32.53,9.17
Kalianget,75,ID,1575855913,83,87.01,-7.35,109.91,3.36
Ribeira Grande,91,PT,1575855604,90,61.59,38.52,-28.7,13
Sola,100,TZ,1575855629,94,64.42,-3.17,33.8,6.49
Altoona,90,US,1575855913,38,39.99,40.52,-78.39,9.17
Yumen,0,CN,1575855607,41,27.07,40.29,97.04,24.67
Soledade,40,BR,1575855913,83,73.4,-7.06,-36.37,11.41
Nizwa,0,OM,1575855913,86,62.35,22.93,57.53,0.27
Shakawe,100,BW,1575855913,68,71.15,-18.36,21.84,3.13
Tezu,0,IN,1575855913,38,64.58,27.93,96.16,2.57
Thunder Bay,90,CA,1575855782,60,10.4,48.41,-89.26,8.05
Ordzhonikidze,3,UA,1575855913,82,45.12,44.96,35.36,12.46
Santa Isabel,75,MX,1575855913,77,66.2,32.63,-115.58,4.7
Antalaha,34,MG,1575855913,77,81.79,-14.9,50.28,13.6
Lubango,0,AO,1575855913,44,54.61,-14.92,13.49,5.26
Ewa Beach,90,US,1575855913,69,82.4,21.32,-158.01,2.71
Verkhnyaya Toyma,96,RU,1575855913,84,32.23,62.24,45,9.95
Bethel,1,US,1575855610,74,30.2,60.79,-161.76,8.05
Lyubinskiy,75,RU,1575855914,100,24.8,55.15,72.69,8.95
Guilin,40,CN,1575855914,87,42.8,25.28,110.29,2.24
Vila Velha,40,BR,1575855615,69,86,-3.71,-38.6,6.93
Tabuk,51,PH,1575855627,78,75.07,17.41,121.44,8.23
Kodiak,90,US,1575855611,87,48,39.95,-94.76,5.82
Kruszwica,100,PL,1575855914,81,46.99,52.67,18.33,10.29
Namtsy,34,RU,1575855914,57,-41.8,62.72,129.66,6.71
Bonavista,98,CA,1575855625,82,26.01,48.65,-53.11,21.99
Strezhevoy,90,RU,1575855619,92,21.2,60.73,77.6,13.42
Sisimiut,85,GL,1575855914,56,3.27,66.94,-53.67,8.5
Mana,1,NG,1575855914,18,67.44,13.03,5.27,7.94
Camacupa,100,AO,1575855914,97,63.41,-12.02,17.48,1.9
Manadhoo,28,MV,1575855914,71,83.19,5.77,73.38,24.34
Waingapu,0,ID,1575855914,72,83.97,-9.65,120.26,5.46
Chake Chake,100,TZ,1575855914,77,84.15,-5.25,39.77,16.15
Vostok,14,RU,1575855914,81,17.42,46.45,135.83,1.74
Artur Nogueira,99,BR,1575855914,60,73.99,-22.57,-47.17,12.75
Marystown,83,CA,1575855914,100,30.99,47.17,-55.16,1.99
Cockburn Town,0,TC,1575855745,77,79.86,21.46,-71.14,21.43
Batticaloa,100,LK,1575855914,88,77.63,7.71,81.69,5.48
Alta Floresta,100,BR,1575855610,96,71.94,-9.87,-56.08,3.65
Vestmannaeyjar,20,IS,1575855915,74,40.08,63.44,-20.27,23.17
Akdepe,100,TM,1575855915,59,35.6,42.05,59.39,6.93
Kankakee,75,US,1575855770,93,50,41.12,-87.86,6.93
Nsanje,53,MZ,1575855624,93,72.21,-16.92,35.26,3.58
Virginia Beach,90,US,1575855915,81,55,36.85,-75.98,3.36
Souillac,97,FR,1575855625,76,50,45.6,-0.6,18.34
Angoram,57,PG,1575855915,56,89.89,-4.06,144.07,5.39
Zhezkazgan,90,KZ,1575855915,100,24.8,47.8,67.71,8.95
Montepuez,90,MZ,1575855915,86,72.43,-13.13,39,0.51
Ust-Nera,100,RU,1575855631,98,-22.56,64.57,143.24,2.15
Rio Branco,40,BR,1575855915,94,78.8,-9.98,-67.82,2.24
Las Choapas,40,MX,1575855915,78,77,17.91,-94.09,4.29
Tete,100,MZ,1575855915,67,76.98,-16.16,33.59,4.56
Presidente Venceslau,91,BR,1575855915,39,82.4,-21.88,-51.85,10.29
Lata,100,IN,1575855621,27,29.26,30.78,78.62,1.66
Tautira,75,PF,1575855630,62,86,-17.73,-149.15,8.05
Chokurdakh,36,RU,1575855611,74,-26.27,70.62,147.9,1.43
Hambantota,75,LK,1575855619,100,75.2,6.12,81.12,3.36
Atasu,0,KZ,1575855915,87,20.89,48.68,71.64,5.01
Conceicao do Araguaia,100,BR,1575855875,78,76.14,-8.26,-49.26,2.17
Bengbu,0,CN,1575855916,45,57.11,32.92,117.38,11.5
Novyy Urengoy,100,RU,1575855916,93,6.19,66.08,76.63,22.95
Saint-Leu,1,RE,1575855630,65,77,-21.15,55.28,4.7
Manjeshwar,20,IN,1575855916,83,75.2,12.72,74.89,4.7
Baruun-Urt,59,MN,1575855916,76,14.36,46.68,113.28,8.32
Kabanjahe,75,ID,1575855916,94,77,3.1,98.49,4.7
Half Moon Bay,90,US,1575855629,93,57.2,37.46,-122.43,8.05
Carauari,100,BR,1575855916,96,73.85,-4.88,-66.9,1.41
Yibin,1,CN,1575855916,60,59.27,28.77,104.64,2.86
Haifa,34,IL,1575855749,92,55.99,32.82,35,9.22
Jalalpur Pirwala,85,PK,1575855916,20,63.63,29.5,71.22,2.55
Rawson,32,AR,1575855624,59,59.81,-43.3,-65.11,19.51
Mount Gambier,75,AU,1575855521,68,66.2,-37.83,140.78,13.87
Nara,0,JP,1575855916,75,50,34.68,135.8,1.12
Matamoros,75,US,1575855916,83,73.99,25.87,-97.51,8.05
Santa Maria,75,BR,1575855624,88,71.6,-16.02,-48.01,3.36
Altay,97,CN,1575855916,64,13.68,47.83,88.13,3.09
Beloha,59,MG,1575855916,88,72.57,-25.17,45.06,8.28
Batemans Bay,48,AU,1575855616,82,86,-35.71,150.18,14
Saldanha,100,PT,1575855607,95,43,41.42,-6.55,2.24
San Vicente,20,EC,1575855614,88,77,-0.59,-80.41,10.29
Hovd,75,NO,1575855624,86,34,63.83,10.7,4.7
Bambanglipuro,86,ID,1575855629,68,85.87,-7.95,110.28,9.53
Galle,42,GN,1575855917,70,68.09,10.08,-12.83,1.43
Gizo,75,IL,1575855917,87,59,31.8,34.94,8.05
Severodvinsk,90,RU,1575855917,80,30.2,64.56,39.82,8.95
Invermere,78,CA,1575855917,92,14.99,50.51,-116.03,3.6
Karpinsk,100,RU,1575855917,90,30.58,59.76,60.01,9.51
Sibolga,100,ID,1575855627,64,83.88,1.74,98.78,2.71
Hualmay,99,PE,1575855917,83,65.73,-11.1,-77.61,2.1
Palmer,93,AU,1575855612,73,81,-34.85,139.16,17.22
Rybachiy,90,RU,1575855917,100,35.6,48.71,44.74,6.71
Yaring,75,TH,1575855917,78,80.6,6.87,101.37,8.05
Shenjiamen,0,CN,1575855917,60,54.52,29.96,122.3,9.95
Camopi,0,GF,1575855626,95,71.67,3.17,-52.33,2.59
Lengshuijiang,36,CN,1575855918,43,57.18,27.66,111.45,4.14
Maceio,40,BR,1575855614,83,77,-9.67,-35.74,6.93
Tura,97,RU,1575855618,99,-7.47,64.27,100.22,2.86
Buenos Aires,40,AR,1575855630,60,78.8,-34.61,-58.44,11.41
Babushkin,100,RU,1575855918,79,17.56,51.72,105.86,2.64
Nanortalik,100,GL,1575855604,61,32.22,60.14,-45.24,3.65
Zhigansk,0,RU,1575855610,93,-33.21,66.77,123.37,1.72
Naryan-Mar,100,RU,1575855918,96,31.68,67.67,53.09,23.62
Wladyslawowo,40,PL,1575855918,93,43,54.79,18.4,10.29
Verkhnyaya Inta,100,RU,1575855615,85,23.47,65.99,60.32,15.52
Tarakan,20,ID,1575855918,83,82.4,3.3,117.63,5.82
Benton,90,US,1575855918,93,50,38,-88.92,11.68
Manzil Salim,40,TN,1575855918,81,50,35.86,8.48,8.05
Kibala,36,TD,1575855918,28,66.42,9.11,18.35,2.46
San Matias,85,BO,1575855918,87,76.53,-16.36,-58.4,4.21
Esperance,0,AU,1575855607,52,64.4,-33.86,121.89,10.29
